time_ms;accelaration_aX_g;accelaration_aY_g;accelaration_aZ_g;gyroscope_aX_mdps;gyroscope_aY_mdps;gyroscope_aZ_mdps;magnetometer_aX_mT;magnetometer_aY_mT;magnetometer_aZ_mT;euler_Yaw;euler_Roll;euler_Pitch;quaternion_aW;quaternion_aX;quaternion_aY;quaternion_aZ;linearise_acceleration_aX_g;linearise_acceleration_aY_g;linearise_acceleration_aZ_g;gravity_aX_g;gravity_aY_g;gravity_aZ_g
374361.0;-0.1510000079870224;0.19600000977516174;0.9460000395774841;4.0625;-30.75;-39.875;-64.0;-8.0;48.0;174.9375;-7.25;-13.8125;-0.043701171875;-0.0693359375;0.11688232421875;0.98974609375;-0.026000000536441803;-0.036000002175569534;0.0020000000949949026;-0.12400000542402267;0.23200000822544098;0.9440000653266907
374371.0;-0.15000000596046448;0.19700001180171967;0.9500000476837158;4.0625;-30.75;-39.875;-71.0;-24.0;43.0;174.875;-7.25;-13.75;-0.04388427734375;-0.0693359375;0.1162109375;0.98980712890625;-0.026000000536441803;-0.032999999821186066;0.005000000353902578;-0.12400000542402267;0.23100000619888306;0.9440000653266907
374381.0;-0.14600001275539398;0.20000000298023224;0.9470000267028809;4.0625;-30.75;-39.875;-80.0;-30.0;49.0;174.875;-7.25;-13.6875;-0.04412841796875;-0.06927490234375;0.11553955078125;0.9898681640625;-0.02200000174343586;-0.029000001028180122;0.0020000000949949026;-0.12400000542402267;0.23000000417232513;0.9450000524520874
374391.0;-0.14300000667572021;0.20100000500679016;0.9470000267028809;3.0;-30.5;-39.5;-90.0;-34.0;58.0;174.8125;-7.25;-13.5625;-0.04443359375;-0.06915283203125;0.11492919921875;0.989990234375;-0.018000001087784767;-0.027000000700354576;0.0010000000474974513;-0.12400000542402267;0.2290000170469284;0.9450000524520874
374401.0;-0.14800000190734863;0.20800000429153442;0.9350000619888306;3.0;-30.5;-39.5;-106.0;-29.0;64.0;174.8125;-7.25;-13.5;-0.04473876953125;-0.069091796875;0.11419677734375;0.99005126953125;-0.023000001907348633;-0.01900000125169754;-0.010000000707805157;-0.12400000542402267;0.22700001299381256;0.9450000524520874
374411.0;-0.14800000190734863;0.20800000429153442;0.9260000586509705;3.0;-30.5;-39.5;-133.0;-25.0;64.0;174.75;-7.25;-13.4375;-0.04510498046875;-0.06903076171875;0.11346435546875;0.9901123046875;-0.024000000208616257;-0.018000001087784767;-0.01900000125169754;-0.12400000542402267;0.22600001096725464;0.9460000395774841
374421.0;-0.14800000190734863;0.20500001311302185;0.9250000715255737;3.0;-30.5;-39.5;-161.0;-23.0;53.0;174.6875;-7.25;-13.3125;-0.04541015625;-0.0689697265625;0.112548828125;0.990234375;-0.024000000208616257;-0.018000001087784767;-0.021000001579523087;-0.12300000339746475;0.2240000069141388;0.9460000395774841
374431.0;-0.14800000190734863;0.20500001311302185;0.9250000715255737;3.0;-30.5;-39.5;-177.0;-25.0;39.0;174.6875;-7.25;-13.1875;-0.045654296875;-0.06890869140625;0.11151123046875;0.99029541015625;-0.02500000037252903;-0.021000001579523087;-0.02200000174343586;-0.12300000339746475;0.22200001776218414;0.9460000395774841
374441.0;-0.14900000393390656;0.20100000500679016;0.9240000247955322;3.0;-30.5;-39.5;-175.0;-28.0;32.0;174.6875;-7.25;-13.0625;-0.04583740234375;-0.06890869140625;0.11053466796875;0.99041748046875;-0.023000001907348633;-0.029000001028180122;-0.032999999821186066;-0.12300000339746475;0.2200000137090683;0.9470000267028809
374451.0;-0.1469999998807907;0.19100001454353333;0.9130000472068787;3.75;-29.0;-39.5;-157.0;-34.0;27.0;174.625;-7.25;-13.0;-0.04595947265625;-0.06884765625;0.109619140625;0.99053955078125;-0.021000001579523087;-0.027000000700354576;-0.04100000113248825;-0.12300000339746475;0.21900001168251038;0.9470000267028809
