time_ms;accelaration_aX_g;accelaration_aY_g;accelaration_aZ_g;gyroscope_aX_mdps;gyroscope_aY_mdps;gyroscope_aZ_mdps;magnetometer_aX_mT;magnetometer_aY_mT;magnetometer_aZ_mT;euler_Yaw;euler_Roll;euler_Pitch;quaternion_aW;quaternion_aX;quaternion_aY;quaternion_aZ;linearise_acceleration_aX_g;linearise_acceleration_aY_g;linearise_acceleration_aZ_g;gravity_aX_g;gravity_aY_g;gravity_aZ_g
1122566.0;0.06200000271201134;-0.2540000081062317;0.9420000314712524;-4.375;-9.875;-42.875;-165.0;-449.0;-222.0;168.1875;2.0625;12.75;-0.1021728515625;0.02996826171875;-0.1087646484375;0.98834228515625;0.03100000135600567;-0.030000001192092896;-0.012000000104308128;0.036000002175569534;-0.2160000056028366;0.9550000429153442
1122576.0;0.06700000166893005;-0.24700000882148743;0.9420000314712524;-4.375;-9.875;-42.875;-88.0;-422.0;-230.0;168.1875;2.0625;12.75;-0.1021728515625;0.02996826171875;-0.1087646484375;0.98834228515625;0.03100000135600567;-0.030000001192092896;-0.012000000104308128;0.036000002175569534;-0.2160000056028366;0.9550000429153442
1122586.0;0.07000000029802322;-0.23400001227855682;0.9390000700950623;-5.0625;-9.1875;-42.375;-6.0;-388.0;-225.0;168.25;2.375;12.75;-0.1014404296875;0.03216552734375;-0.1085205078125;0.9884033203125;0.030000001192092896;-0.017000000923871994;-0.015000000596046448;0.04000000283122063;-0.2160000056028366;0.9550000429153442
1122596.0;0.0950000062584877;-0.23800000548362732;0.9240000247955322;-5.0625;-9.1875;-42.375;65.0;-346.0;-218.0;168.4375;2.8125;12.625;-0.099609375;0.0357666015625;-0.10723876953125;0.98858642578125;0.05700000375509262;-0.018000001087784767;-0.03100000135600567;0.04800000041723251;-0.21400001645088196;0.9550000429153442
1122606.0;0.10600000619888306;-0.2330000102519989;0.9230000376701355;-5.0625;-9.1875;-42.375;100.0;-311.0;-213.0;168.5625;3.0;12.5625;-0.0987548828125;0.0372314453125;-0.1064453125;0.98870849609375;0.046000003814697266;0.004000000189989805;-0.03100000135600567;0.05100000277161598;-0.21300001442432404;0.9550000429153442
1122616.0;0.09800000488758087;-0.20800000429153442;0.9240000247955322;-5.0625;-9.1875;-42.375;116.0;-276.0;-197.0;168.5625;3.0;12.5625;-0.09808349609375;0.03851318359375;-0.10565185546875;0.98883056640625;0.04100000113248825;0.027000000700354576;-0.03200000151991844;0.05400000140070915;-0.2120000123977661;0.9550000429153442
1122626.0;0.0950000062584877;-0.18400001525878906;0.9230000376701355;-5.0625;-9.1875;-42.375;118.0;-238.0;-152.0;168.625;3.125;12.5;-0.09808349609375;0.03851318359375;-0.10565185546875;0.98883056640625;0.04100000113248825;0.027000000700354576;-0.03200000151991844;0.05400000140070915;-0.2120000123977661;0.9550000429153442
1122636.0;0.08800000697374344;-0.20000000298023224;0.9220000505447388;-5.0625;-8.75;-41.5625;84.0;-214.0;-130.0;168.6875;3.3125;12.4375;-0.09747314453125;0.0396728515625;-0.1051025390625;0.9888916015625;0.03100000135600567;0.010000000707805157;-0.032999999821186066;0.0560000017285347;-0.2110000103712082;0.9550000429153442
1122646.0;0.08500000089406967;-0.20600001513957977;0.9230000376701355;-5.0625;-8.75;-41.5625;35.0;-201.0;-145.0;168.8125;3.4375;12.4375;-0.09686279296875;0.040771484375;-0.10479736328125;0.98895263671875;0.01900000125169754;0.010000000707805157;-0.03500000014901161;0.06100000441074371;-0.2110000103712082;0.9550000429153442
1122656.0;0.08000000566244125;-0.20000000298023224;0.9200000166893005;-5.0625;-8.75;-41.5625;-32.0;-198.0;-124.0;168.875;3.5625;12.4375;-0.095947265625;0.0430908203125;-0.10528564453125;0.9888916015625;0.027000000700354576;0.0020000000949949026;-0.032999999821186066;0.06300000101327896;-0.2120000123977661;0.9550000429153442
1122666.0;0.09100000560283661;-0.20900000631809235;0.921000063419342;-5.0625;-8.75;-41.5625;-108.0;-207.0;-85.0;168.875;3.6875;12.5;-0.095947265625;0.0430908203125;-0.10528564453125;0.9888916015625;0.027000000700354576;0.0020000000949949026;-0.032999999821186066;0.06300000101327896;-0.2120000123977661;0.9550000429153442
1122676.0;0.10000000149011612;-0.22800001502037048;0.9180000424385071;-5.0625;-8.75;-41.5625;-161.0;-191.0;-50.0;168.9375;3.8125;12.625;-0.095703125;0.0443115234375;-0.10601806640625;0.98876953125;0.03400000184774399;-0.014000000432133675;-0.036000002175569534;0.06599999964237213;-0.21300001442432404;0.9540000557899475
1122686.0;0.09800000488758087;-0.23400001227855682;0.9330000281333923;-5.5;-8.75;-41.5;-171.0;-164.0;-26.0;168.9375;3.9375;12.6875;-0.095458984375;0.04547119140625;-0.10687255859375;0.9886474609375;0.030000001192092896;-0.018000001087784767;-0.020000001415610313;0.06800000369548798;-0.2150000035762787;0.9540000557899475
1122696.0;0.09200000762939453;-0.22300000488758087;0.9460000395774841;-5.5;-8.75;-41.5;-151.0;-147.0;-9.0;168.9375;4.0625;12.8125;-0.09552001953125;0.04638671875;-0.107666015625;0.988525390625;0.02200000174343586;-0.005000000353902578;-0.007000000216066837;0.0690000057220459;-0.21700000762939453;0.9530000686645508
1122706.0;0.0990000069141388;-0.22700001299381256;0.9450000524520874;-5.5;-8.75;-41.5;-104.0;-121.0;0.0;168.9375;4.125;12.875;-0.0955810546875;0.04718017578125;-0.108154296875;0.9884033203125;0.02800000086426735;-0.009000000543892384;-0.007000000216066837;0.07200000435113907;-0.21900001168251038;0.9530000686645508
1122716.0;0.09800000488758087;-0.2330000102519989;0.9530000686645508;-5.5;-8.75;-41.5;-50.0;-88.0;-4.0;168.9375;4.1875;12.9375;-0.0955810546875;0.04766845703125;-0.1083984375;0.98834228515625;0.026000000536441803;-0.014000000432133675;0.0;0.07200000435113907;-0.21900001168251038;0.9530000686645508
