time_ms;accelaration_aX_g;accelaration_aY_g;accelaration_aZ_g;gyroscope_aX_mdps;gyroscope_aY_mdps;gyroscope_aZ_mdps;magnetometer_aX_mT;magnetometer_aY_mT;magnetometer_aZ_mT;euler_Yaw;euler_Roll;euler_Pitch;quaternion_aW;quaternion_aX;quaternion_aY;quaternion_aZ;linearise_acceleration_aX_g;linearise_acceleration_aY_g;linearise_acceleration_aZ_g;gravity_aX_g;gravity_aY_g;gravity_aZ_g
1110881.0;0.20000000298023224;0.02200000174343586;0.9550000429153442;-20.75;-14.25;-33.6875;-2.0;-21.0;-18.0;135.1875;9.25;1.0625;0.37957763671875;-0.0784912109375;-0.02239990234375;-0.92156982421875;0.04200000315904617;0.04000000283122063;-0.01100000087171793;0.15800000727176666;-0.017000000923871994;0.9670000672340393
1110891.0;0.20000000298023224;0.018000001087784767;0.9530000686645508;-20.75;-14.25;-33.6875;-30.0;2.0;-9.0;135.1875;9.25;1.0625;0.37957763671875;-0.07855224609375;-0.022216796875;-0.92156982421875;0.04200000315904617;0.03700000047683716;-0.014000000432133675;0.15800000727176666;-0.018000001087784767;0.9670000672340393
1110901.0;0.20100000500679016;0.01100000087171793;0.9460000395774841;-20.75;-14.25;-33.6875;-57.0;33.0;-2.0;135.1875;9.25;1.0625;0.3795166015625;-0.07855224609375;-0.02191162109375;-0.92156982421875;0.0430000014603138;0.030000001192092896;-0.020000001415610313;0.15700000524520874;-0.01900000125169754;0.9670000672340393
1110911.0;0.19100001454353333;0.010000000707805157;0.9530000686645508;-20.75;-14.25;-33.6875;-76.0;56.0;4.0;135.1875;9.25;1.125;0.3795166015625;-0.07843017578125;-0.02142333984375;-0.921630859375;0.03400000184774399;0.030000001192092896;-0.013000000268220901;0.15700000524520874;-0.01900000125169754;0.9670000672340393
1110921.0;0.17800000309944153;0.013000000268220901;0.9520000219345093;-20.75;-14.25;-33.6875;-76.0;69.0;4.0;135.1875;9.1875;1.125;0.37945556640625;-0.07830810546875;-0.02117919921875;-0.921630859375;0.020000001415610313;0.032999999821186066;-0.014000000432133675;0.15700000524520874;-0.020000001415610313;0.9670000672340393
1110931.0;0.17600001394748688;0.01900000125169754;0.9380000233650208;-20.0625;-14.5625;-34.5;-67.0;76.0;12.0;135.1875;9.1875;1.1875;0.3795166015625;-0.07818603515625;-0.02099609375;-0.921630859375;0.01900000125169754;0.04000000283122063;-0.029000001028180122;0.15600000321865082;-0.020000001415610313;0.9670000672340393
1110941.0;0.18700000643730164;0.013000000268220901;0.937000036239624;-20.0625;-14.5625;-34.5;-75.0;60.0;33.0;135.1875;9.1875;1.1875;0.37957763671875;-0.078125;-0.02081298828125;-0.921630859375;0.030000001192092896;0.03400000184774399;-0.030000001192092896;0.15600000321865082;-0.020000001415610313;0.9670000672340393
1110951.0;0.19300000369548798;0.01600000075995922;0.9290000200271606;-20.0625;-14.5625;-34.5;-110.0;59.0;51.0;135.1875;9.1875;1.25;0.3797607421875;-0.0782470703125;-0.02044677734375;-0.9215087890625;0.03700000047683716;0.03800000250339508;-0.03800000250339508;0.15600000321865082;-0.021000001579523087;0.9670000672340393
1110961.0;0.1990000158548355;0.024000000208616257;0.9350000619888306;-20.0625;-14.5625;-34.5;-187.0;52.0;59.0;135.125;9.1875;1.3125;0.37994384765625;-0.07855224609375;-0.01983642578125;-0.92144775390625;0.04200000315904617;0.046000003814697266;-0.03200000151991844;0.15600000321865082;-0.02200000174343586;0.9670000672340393
1110971.0;0.20000000298023224;0.0010000000474974513;0.9490000605583191;-20.0625;-14.5625;-34.5;-296.0;49.0;54.0;135.125;9.1875;1.4375;0.38006591796875;-0.0791015625;-0.0186767578125;-0.92138671875;0.0430000014603138;0.026000000536441803;-0.018000001087784767;0.15600000321865082;-0.02500000037252903;0.9670000672340393
