time_ms;accelaration_aX_g;accelaration_aY_g;accelaration_aZ_g;gyroscope_aX_mdps;gyroscope_aY_mdps;gyroscope_aZ_mdps;magnetometer_aX_mT;magnetometer_aY_mT;magnetometer_aZ_mT;euler_Yaw;euler_Roll;euler_Pitch;quaternion_aW;quaternion_aX;quaternion_aY;quaternion_aZ;linearise_acceleration_aX_g;linearise_acceleration_aY_g;linearise_acceleration_aZ_g;gravity_aX_g;gravity_aY_g;gravity_aZ_g
1817448.0;-0.17400000989437103;0.39000001549720764;0.5060000419616699;24.5;-33.75;-23.0;829.0;-729.0;24.0;228.9375;-7.125;-34.6875;0.39483642578125;0.0633544921875;0.29730224609375;0.86700439453125;-0.052000001072883606;-0.164000004529953;-0.2930000126361847;-0.12200000882148743;0.5540000200271606;0.7990000247955322
1817458.0;-0.13500000536441803;0.39400002360343933;0.5220000147819519;24.5;-33.75;-23.0;805.0;-710.0;51.0;229.0625;-6.75;-35.1875;0.39544677734375;0.068359375;0.2994384765625;0.8656005859375;-0.01900000125169754;-0.16600000858306885;-0.2720000147819519;-0.11600000411272049;0.5610000491142273;0.7950000166893005
1817468.0;-0.1210000067949295;0.3840000033378601;0.4970000088214874;24.0625;-34.875;-23.375;742.0;-757.0;119.0;229.25;-6.375;-35.625;0.39642333984375;0.07379150390625;0.30120849609375;0.8641357421875;-0.012000000104308128;-0.18300001323223114;-0.2939999997615814;-0.10900000482797623;0.5670000314712524;0.7920000553131104
1817478.0;-0.09400000423192978;0.41100001335144043;0.492000013589859;24.0625;-34.875;-23.375;644.0;-726.0;82.0;229.375;-6.0;-36.0;0.39697265625;0.07855224609375;0.30255126953125;0.86297607421875;0.00800000037997961;-0.16200000047683716;-0.29600000381469727;-0.10200000554323196;0.5730000138282776;0.7890000343322754
1817488.0;-0.07800000160932541;0.42000001668930054;0.4880000352859497;24.0625;-34.875;-23.375;553.0;-691.0;105.0;229.4375;-5.625;-36.3125;0.3973388671875;0.08306884765625;0.3035888671875;0.86199951171875;0.018000001087784767;-0.15700000524520874;-0.2970000207424164;-0.09600000083446503;0.5770000219345093;0.7860000133514404
1817498.0;-0.09100000560283661;0.4410000145435333;0.492000013589859;24.0625;-34.875;-23.375;440.0;-663.0;139.0;229.5;-5.25;-36.5625;0.3975830078125;0.08721923828125;0.30413818359375;0.86126708984375;-0.0020000000949949026;-0.13900001347064972;-0.29100000858306885;-0.08900000154972076;0.581000030040741;0.784000039100647
1817508.0;-0.09100000560283661;0.43300002813339233;0.48500001430511475;24.0625;-34.875;-23.375;342.0;-674.0;203.0;229.5625;-4.8125;-36.75;0.3975830078125;0.09130859375;0.30419921875;0.86083984375;-0.007000000216066837;-0.1510000079870224;-0.2970000207424164;-0.08300000429153442;0.5840000510215759;0.7820000648498535
1817518.0;-0.07900000363588333;0.42900002002716064;0.49000000953674316;22.75;-35.5625;-22.5625;227.0;-698.0;196.0;229.625;-4.4375;-36.875;0.398193359375;0.095458984375;0.3035888671875;0.8603515625;-0.003000000026077032;-0.15700000524520874;-0.29100000858306885;-0.07600000500679016;0.5860000252723694;0.7820000648498535
1817528.0;-0.07900000363588333;0.42900002002716064;0.49000000953674316;22.75;-35.5625;-22.5625;107.0;-698.0;146.0;229.6875;-4.0;-36.875;0.39862060546875;0.09912109375;0.30255126953125;0.860107421875;0.00800000037997961;-0.14300000667572021;-0.27400001883506775;-0.0690000057220459;0.5870000123977661;0.781000018119812
1817538.0;-0.029000001028180122;0.45900002121925354;0.5070000290870667;22.75;-35.5625;-22.5625;2.0;-688.0;123.0;229.75;-3.625;-36.875;0.39910888671875;0.1024169921875;0.301025390625;0.8599853515625;0.032999999821186066;-0.12800000607967377;-0.27400001883506775;-0.06200000271201134;0.5870000123977661;0.7820000648498535
1817548.0;-0.029000001028180122;0.45900002121925354;0.5070000290870667;22.75;-35.5625;-22.5625;-75.0;-656.0;93.0;229.8125;-3.3125;-36.8125;0.3997802734375;0.10540771484375;0.29925537109375;0.85992431640625;0.03500000014901161;-0.12600000202655792;-0.27800002694129944;-0.0560000017285347;0.5870000123977661;0.7830000519752502
1817558.0;-0.021000001579523087;0.46000000834465027;0.5049999952316284;22.75;-35.5625;-22.5625;-145.0;-616.0;77.0;229.9375;-2.9375;-36.75;0.4005126953125;0.1080322265625;0.2972412109375;0.8599853515625;0.036000002175569534;-0.11600000411272049;-0.2710000276565552;-0.05100000277161598;0.5860000252723694;0.784000039100647
1817568.0;-0.014000000432133675;0.4700000286102295;0.5130000114440918;22.75;-35.5625;-22.5625;-145.0;-616.0;77.0;230.125;-2.6875;-36.625;0.4022216796875;0.11065673828125;0.294921875;0.85968017578125;0.032999999821186066;-0.10900000482797623;-0.27800002694129944;-0.046000003814697266;0.5840000510215759;0.7860000133514404
1817578.0;-0.012000000104308128;0.4750000238418579;0.5070000290870667;21.6875;-36.6875;-24.0625;-202.0;-575.0;68.0;230.1875;-2.375;-36.4375;0.40289306640625;0.1126708984375;0.2926025390625;0.85986328125;0.027000000700354576;-0.11100000888109207;-0.2680000066757202;-0.04100000113248825;0.5820000171661377;0.7870000600814819
1817588.0;-0.013000000268220901;0.4710000157356262;0.5190000534057617;21.6875;-36.6875;-24.0625;-266.0;-495.0;71.0;230.25;-2.125;-36.3125;0.40350341796875;0.11444091796875;0.29034423828125;0.860107421875;0.02200000174343586;-0.11500000208616257;-0.2760000228881836;-0.036000002175569534;0.5800000429153442;0.7890000343322754
1817598.0;-0.014000000432133675;0.4650000333786011;0.5120000243186951;21.6875;-36.6875;-24.0625;-261.0;-436.0;50.0;230.3125;-1.875;-36.125;0.404052734375;0.115966796875;0.28814697265625;0.8603515625;0.027000000700354576;-0.11600000411272049;-0.2670000195503235;-0.03200000151991844;0.578000009059906;0.7910000085830688
