time_ms;accelaration_aX_g;accelaration_aY_g;accelaration_aZ_g;gyroscope_aX_mdps;gyroscope_aY_mdps;gyroscope_aZ_mdps;magnetometer_aX_mT;magnetometer_aY_mT;magnetometer_aZ_mT;euler_Yaw;euler_Roll;euler_Pitch;quaternion_aW;quaternion_aX;quaternion_aY;quaternion_aZ;linearise_acceleration_aX_g;linearise_acceleration_aY_g;linearise_acceleration_aZ_g;gravity_aX_g;gravity_aY_g;gravity_aZ_g
1035938.0;0.16500000655651093;0.08300000429153442;0.9110000729560852;-16.1875;-11.875;-36.5625;-19.0;-28.0;126.0;138.0;6.375;-0.9375;0.357421875;-0.04901123046875;-0.02783203125;-0.9322509765625;0.0560000017285347;0.06599999964237213;-0.06200000271201134;0.10900000482797623;0.01600000075995922;0.9740000367164612
1035948.0;0.16700001060962677;0.06200000271201134;0.906000018119812;-16.5625;-13.6875;-36.0625;-44.0;16.0;156.0;137.875;6.375;-0.875;0.35858154296875;-0.04901123046875;-0.027587890625;-0.93182373046875;0.058000002056360245;0.046000003814697266;-0.06800000369548798;0.1080000028014183;0.015000000596046448;0.9740000367164612
1035958.0;0.15900000929832458;0.06100000441074371;0.8970000147819519;-16.5625;-13.6875;-36.0625;-46.0;36.0;156.0;137.8125;6.3125;-0.875;0.3599853515625;-0.04888916015625;-0.02691650390625;-0.9312744140625;0.07100000232458115;0.05400000140070915;-0.11700000613927841;0.1080000028014183;0.014000000432133675;0.9740000367164612
1035968.0;0.17900000512599945;0.0690000057220459;0.8560000658035278;-16.5625;-13.6875;-36.0625;-45.0;30.0;142.0;137.6875;6.3125;-0.8125;0.3607177734375;-0.048828125;-0.0264892578125;-0.9310302734375;0.08300000429153442;0.046000003814697266;-0.13300000131130219;0.10700000822544098;0.013000000268220901;0.9740000367164612
1035978.0;0.1900000125169754;0.06000000238418579;0.8400000333786011;-16.5625;-13.6875;-36.0625;-61.0;46.0;141.0;137.625;6.3125;-0.8125;0.36138916015625;-0.048583984375;-0.02593994140625;-0.9307861328125;0.08400000631809235;0.03400000184774399;-0.1340000033378601;0.10700000822544098;0.012000000104308128;0.9740000367164612
1035988.0;0.19100001454353333;0.04700000211596489;0.8400000333786011;-16.5625;-13.6875;-36.0625;-71.0;77.0;140.0;137.5;6.25;-0.75;0.36138916015625;-0.048583984375;-0.02593994140625;-0.9307861328125;0.08400000631809235;0.03400000184774399;-0.1340000033378601;0.10700000822544098;0.012000000104308128;0.9740000367164612
1035998.0;0.1980000138282776;0.04700000211596489;0.8460000157356262;-16.5625;-14.0625;-36.0625;-76.0;75.0;129.0;137.4375;6.1875;-0.6875;0.362060546875;-0.04840087890625;-0.025390625;-0.9305419921875;0.09200000762939453;0.03500000014901161;-0.12800000607967377;0.10600000619888306;0.012000000104308128;0.9740000367164612
1036008.0;0.1860000044107437;0.0860000029206276;0.8970000147819519;-16.5625;-14.0625;-36.0625;-115.0;84.0;129.0;137.375;6.125;-0.625;0.3626708984375;-0.0482177734375;-0.024658203125;-0.93035888671875;0.0820000022649765;0.09400000423192978;-0.003000000026077032;0.10400000214576721;0.00800000037997961;0.9750000238418579
1036018.0;0.18700000643730164;0.10300000756978989;0.971000075340271;-16.5625;-14.0625;-36.0625;-213.0;88.0;121.0;137.3125;6.0625;-0.4375;0.36322021484375;-0.0482177734375;-0.02337646484375;-0.93017578125;0.05700000375509262;0.08300000429153442;0.07800000160932541;0.10300000756978989;0.004000000189989805;0.9750000238418579
1036028.0;0.1600000113248825;0.08700000494718552;1.0530000925064087;-16.5625;-14.0625;-36.0625;-386.0;89.0;106.0;137.25;6.0625;-0.1875;0.3636474609375;-0.04852294921875;-0.02130126953125;-0.9300537109375;0.05000000074505806;0.020000001415610313;0.13100001215934753;0.10200000554323196;-0.0020000000949949026;0.9750000238418579
1036038.0;0.15200001001358032;0.018000001087784767;1.1069999933242798;-16.5625;-14.0625;-36.0625;-624.0;105.0;83.0;137.25;6.0;0.125;0.3638916015625;-0.0491943359375;-0.01800537109375;-0.929931640625;0.05000000074505806;0.020000001415610313;0.13100001215934753;0.10200000554323196;-0.0020000000949949026;0.9750000238418579
1036048.0;0.12700000405311584;-0.049000002443790436;1.156000018119812;-17.25;-14.5;-36.5625;-802.0;89.0;73.0;137.1875;5.9375;0.5625;0.3641357421875;-0.05029296875;-0.01385498046875;-0.92987060546875;0.026000000536441803;-0.03800000250339508;0.1810000091791153;0.10100000351667404;-0.010000000707805157;0.9750000238418579
1036058.0;0.1300000101327896;-0.10000000149011612;1.0910000801086426;-17.25;-14.5;-36.5625;-817.0;54.0;76.0;137.1875;5.875;1.0625;0.36431884765625;-0.0516357421875;-0.009765625;-0.9298095703125;0.029000001028180122;-0.08100000023841858;0.11600000411272049;0.10100000351667404;-0.01900000125169754;0.9750000238418579
1036068.0;0.07300000637769699;-0.18300001323223114;0.9980000257492065;-17.25;-14.5;-36.5625;-630.0;45.0;48.0;137.1875;5.875;1.5;0.3643798828125;-0.0526123046875;-0.00653076171875;-0.92974853515625;-0.027000000700354576;-0.15700000524520874;0.023000001907348633;0.10100000351667404;-0.029000001028180122;0.9740000367164612
1036078.0;-0.020000001415610313;-0.012000000104308128;1.2470000982284546;-17.25;-14.5;-36.5625;-372.0;-64.0;-28.0;137.1875;5.875;1.6875;0.3641357421875;-0.05364990234375;-0.0048828125;-0.9298095703125;-0.1210000067949295;0.01600000075995922;0.2720000147819519;0.10100000351667404;-0.029000001028180122;0.9740000367164612
1036088.0;-0.017000000923871994;0.06100000441074371;1.311000108718872;-17.25;-14.5;-36.5625;-212.0;-205.0;-61.0;137.25;6.0;1.8125;0.36376953125;-0.0550537109375;-0.00421142578125;-0.92987060546875;-0.12000000476837158;0.09300000220537186;0.3360000252723694;0.10300000756978989;-0.03100000135600567;0.9740000367164612
1036098.0;-0.06200000271201134;0.036000002175569534;1.2720000743865967;-16.1875;-13.0;-37.6875;-139.0;-239.0;-26.0;137.25;6.1875;1.9375;0.363525390625;-0.0565185546875;-0.0040283203125;-0.92987060546875;-0.1680000126361847;0.0690000057220459;0.2980000078678131;0.10500000417232513;-0.03200000151991844;0.9740000367164612
1036108.0;-0.09300000220537186;0.009000000543892384;1.2290000915527344;-16.1875;-13.0;-37.6875;-218.0;-281.0;-32.0;137.3125;6.3125;2.0625;0.36334228515625;-0.05828857421875;-0.00347900390625;-0.9298095703125;-0.20200000703334808;0.04400000348687172;0.2550000250339508;0.1080000028014183;-0.03500000014901161;0.9730000495910645
1036118.0;-0.13300000131130219;-0.01900000125169754;1.2040001153945923;-16.1875;-13.0;-37.6875;-334.0;-385.0;-59.0;137.3125;6.5625;2.25;0.3629150390625;-0.06085205078125;-0.0025634765625;-0.9298095703125;-0.2460000067949295;0.01900000125169754;0.23100000619888306;0.1120000034570694;-0.03800000250339508;0.9730000495910645
1036128.0;-0.13300000131130219;-0.029000001028180122;1.2020000219345093;-16.1875;-13.0;-37.6875;-363.0;-536.0;-87.0;137.375;6.875;2.4375;0.36236572265625;-0.06414794921875;-0.00189208984375;-0.9298095703125;-0.2510000169277191;0.012000000104308128;0.2290000170469284;0.11800000816583633;-0.04200000315904617;0.9720000624656677
1036138.0;-0.14100000262260437;-0.07400000095367432;1.2020000219345093;-16.1875;-13.0;-37.6875;-339.0;-623.0;-75.0;137.4375;7.25;2.625;0.36187744140625;-0.06787109375;-0.00140380859375;-0.92974853515625;-0.26600000262260437;-0.029000001028180122;0.23100000619888306;0.12400000542402267;-0.04500000178813934;0.971000075340271
1036148.0;-0.19300000369548798;-0.02800000086426735;1.225000023841858;-16.1875;-12.1875;-36.875;-242.0;-694.0;-56.0;137.5;7.6875;2.8125;0.3614501953125;-0.07171630859375;-0.0015869140625;-0.92962646484375;-0.32500001788139343;0.01900000125169754;0.2550000250339508;0.13100001215934753;-0.04700000211596489;0.9700000286102295
1036158.0;-0.15800000727176666;0.009000000543892384;1.196000099182129;-16.1875;-12.1875;-36.875;-161.0;-797.0;-38.0;137.5;8.1875;2.875;0.3612060546875;-0.07598876953125;-0.0023193359375;-0.92938232421875;-0.2980000078678131;0.05900000408291817;0.22700001299381256;0.14000000059604645;-0.049000002443790436;0.9690000414848328
1036168.0;-0.1290000081062317;-0.02200000174343586;1.187000036239624;-16.1875;-12.1875;-36.875;-155.0;-854.0;15.0;137.5;8.6875;3.0;0.3612060546875;-0.0804443359375;-0.003173828125;-0.92901611328125;-0.27800002694129944;0.02800000086426735;0.21900001168251038;0.14800000190734863;-0.05100000277161598;0.9670000672340393
1036178.0;-0.1290000081062317;-0.03100000135600567;1.1780000925064087;-16.1875;-12.1875;-36.875;-190.0;-902.0;21.0;137.4375;9.25;3.125;0.3612060546875;-0.085205078125;-0.00396728515625;-0.9285888671875;-0.28700000047683716;0.021000001579523087;0.2120000123977661;0.15800000727176666;-0.05300000309944153;0.9660000205039978
1036188.0;-0.0990000069141388;-0.0560000017285347;1.1120001077651978;-16.1875;-12.1875;-36.875;-209.0;-942.0;3.0;137.4375;9.8125;3.25;0.361083984375;-0.09027099609375;-0.00469970703125;-0.92816162109375;-0.2670000195503235;0.0;0.1469999998807907;0.16700001060962677;-0.055000003427267075;0.9640000462532043
1036198.0;-0.0990000069141388;-0.0560000017285347;1.1120001077651978;-17.6875;-12.1875;-35.6875;-200.0;-961.0;10.0;137.4375;10.375;3.375;0.36102294921875;-0.0953369140625;-0.00555419921875;-0.92767333984375;-0.24400001764297485;-0.03200000151991844;0.13900001347064972;0.1770000010728836;-0.05700000375509262;0.9620000720024109
1036208.0;-0.06700000166893005;-0.08900000154972076;1.1010000705718994;-17.6875;-12.1875;-35.6875;-193.0;-970.0;0.0;137.4375;11.0;3.5;0.36083984375;-0.1004638671875;-0.0064697265625;-0.92718505859375;-0.24000000953674316;-0.024000000208616257;0.125;0.18700000643730164;-0.05900000408291817;0.9600000381469727
1036218.0;-0.04100000113248825;-0.09100000560283661;1.0390000343322754;-17.6875;-12.1875;-35.6875;-180.0;-995.0;-44.0;137.4375;11.5625;3.625;0.36053466796875;-0.105712890625;-0.00750732421875;-0.92669677734375;-0.23900000751018524;-0.030000001192092896;0.08000000566244125;0.19700001180171967;-0.06100000441074371;0.9580000638961792
1036228.0;-0.04100000113248825;-0.09100000560283661;1.0390000343322754;-17.6875;-12.1875;-35.6875;-132.0;-1011.0;-98.0;137.5;12.1875;3.6875;0.35992431640625;-0.11090087890625;-0.00885009765625;-0.92633056640625;-0.21300001442432404;-0.018000001087784767;0.05400000140070915;0.2070000171661377;-0.06200000271201134;0.956000030040741
